Region,Country,Year,Brand,Tier 1,Tier 2,Tier 3,Pep (%),Budget,Pep Budget,Bottler Budget,Category
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,Consumer Promotions,Coupons (Redemption),0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,Consumer Promotions,Other Consumer Promotions,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,Consumer Promotions,Premiums,100.0,10457069,10457069,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,In Store & POS Execution,In-Store and POS Execution,100.0,16160926,16160926,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,In Store & POS Execution,Other In-Store and POS Execution,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,Media Placements,Digital Media,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,Media Placements,Media Placements,100.0,74150131,74150131,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,Media Placements,Other Media,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,Other Working,All Other Working,100.0,23766067,23766067,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,Other Working,W-Cross Charges,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,Other Working,W-Excluded non-A&M Items,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,Other Working,W-Fall In / Fall Out,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,Sampling,Other Sampling,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,Sampling,Product Samples,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,Sampling,Sample Executing,100.0,1901285,1901285,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,Sponsorships,Other Sponsorships,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,Sponsorships,Sponsorships,100.0,90311057,90311057,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,STB - Push,Capability Building/Other,Capability Building,0.0,1901285,0,1901285,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,STB - Push,Capability Building/Other,Capability Building/Other-Other,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,STB - Push,Trade Equipment,On Premise Equipment,0.0,950642,0,950642,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,STB - Push,Trade Equipment,"Stands/ Racks, Other Trade Equipment",0.0,1901285,0,1901285,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,STB - Push,Trade Equipment,Trade Equipment-Other,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,STB - Push,Trade Programs,Distribution Incentives,0.0,88409772,0,88409772,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,STB - Push,Trade Programs,Innovation Investments,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,STB - Push,Trade Programs,Other Trade Programs,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,STB - Push,Trade Programs,Sales Incentives,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,STB - Push,Trade Programs,Space Investments,0.0,91261700,0,91261700,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,STB - Push,Unilateral,CDAs,0.0,303255026,0,303255026,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,STB - Push,Unilateral,Capital Equipment,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,STB - Push,Unilateral,Other Unilateral,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,STB - Push,Unilateral,Price Support,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Ad Production,Digital Ad Production,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Ad Production,Other Ad Production,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Ad Production,TV Print Radio OOH Prod,100.0,662568,662568,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Agency Fees,Creative Agency Fees,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Agency Fees,In Store and POS Design/Development,0.0,0,0,0,RTD Tea
